station_name;latitude;longitude;metro_line
Plac Wilsona;52.26921;20.98417;M1
Centrum;52.23055;21.01091;M1
Stokłosy;52.15583;21.03470;M1
Wilanowska;52.18098;21.02364;M1
Świętokrzyska;52.23499;21.00835;M1
Ratusz;52.24476;21.00082;M1
Wierzbno;52.18932;21.01726;M1
Ursynów;52.16217;21.02858;M1
Natolin;52.14033;21.05776;M1
Służew;52.17323;21.02665;M1
Politechnika;52.21767;21.01475;M1
Racławicka;52.19816;21.01305;M1
Dw. Gdański;52.25872;20.99452;M1
Imielin;52.15013;21.04549;M1
Marymont;52.27202;20.97145;M1
Słodowiec;52.27702;20.95955;M1
Kabaty;52.13225;21.064965;M1
Pole Mokotowskie;52.209421;21.007383;M1
Stare Bielany;52.281802;20.949299;M1
Wawrzyszew;52.28674;20.93870;M1
Młociny;52.290482;20.930393;M1
Bródno;52.293537;21.029371;M2
Kondratowicza;52.292090;21.050293;M2
Zacisze;52.284247;21.061983;M2
Targówek Mieszkaniowy;52.269472;21.051429;M2
Szwedzka;52.262878;21.043993;M2
Wileński;52.254144;21.035460;M2
Stadion Narodowy;52.246916798997034;21.04323561626742;M2
Centrum Nauki Kopernik;52.239600355394955;21.031111926344064;M2
Nowy Świat Uniwersytet;52.236728525202395;21.017221606343416;M2
Rondo ONZ;52.233017;20.998244;M2
Rondo Daszyńskiego;52.23011512527735;20.98372997248939;M2
Płocka;52.23287989505264;20.96589765828238;M2
Młynów;52.23751038049355;20.960707755742142;M2
Księcia Janusza;52.23922423391228;20.942442715554577;M2
Ulrychów;52.240396841948844;20.92990316718396;M2
Bemowo;52.23922636224482;20.914847250118132;M2